Unit	Steady(Kelvin)
iface_P_3_3	352.47
iface_P_3_4	357.75
iface_P_3_5	354.64
iface_P_3_6	355.56
iface_P_3_7	348.66
iface_P_4_0	352.00
iface_P_4_1	354.41
iface_P_4_2	354.71
iface_P_4_3	352.22
iface_P_4_4	356.10
iface_P_4_5	356.97
iface_P_4_6	354.15
iface_P_4_7	348.49
iface_P_5_0	352.56
iface_P_5_1	352.41
iface_P_5_2	353.88
iface_P_5_3	351.49
iface_P_5_4	356.59
iface_P_5_5	353.87
iface_P_5_6	354.21
iface_P_5_7	348.08
iface_P_6_0	348.00
iface_P_6_1	349.18
iface_P_6_2	349.91
iface_P_6_3	350.10
iface_P_6_4	350.51
iface_P_6_5	350.01
iface_P_6_6	349.15
iface_P_6_7	347.32
iface_P_7_0	346.75
iface_P_7_1	347.76
iface_P_7_2	348.33
iface_P_7_3	348.61
iface_P_7_4	348.65
iface_P_7_5	348.34
iface_P_7_6	347.65
iface_P_7_7	346.48
hsp_P_0_0	345.76
hsp_P_0_1	346.88
hsp_P_0_2	347.21
hsp_P_0_3	347.23
hsp_P_0_4	348.40
hsp_P_0_5	348.31
hsp_P_0_6	346.94
hsp_P_0_7	344.51
hsp_P_1_0	345.99
hsp_P_1_1	347.81
hsp_P_1_2	348.61
hsp_P_1_3	348.39
hsp_P_1_4	349.05
hsp_P_1_5	349.03
hsp_P_1_6	347.88
hsp_P_1_7	345.13
hsp_P_2_0	346.30
hsp_P_2_1	348.27
hsp_P_2_2	349.15
hsp_P_2_3	349.04
hsp_P_2_4	349.73
hsp_P_2_5	349.79
hsp_P_2_6	348.27
hsp_P_2_7	345.45
hsp_P_3_0	346.88
hsp_P_3_1	348.53
hsp_P_3_2	349.29
hsp_P_3_3	349.29
hsp_P_3_4	350.24
hsp_P_3_5	349.73
hsp_P_3_6	348.51
hsp_P_3_7	345.55
hsp_P_4_0	346.61
hsp_P_4_1	348.34
hsp_P_4_2	349.07
hsp_P_4_3	349.05
hsp_P_4_4	349.92
hsp_P_4_5	349.66
hsp_P_4_6	348.19
hsp_P_4_7	345.39
hsp_P_5_0	346.11
hsp_P_5_1	347.46
hsp_P_5_2	348.27
hsp_P_5_3	348.32
hsp_P_5_4	349.14
hsp_P_5_5	348.57
hsp_P_5_6	347.49
hsp_P_5_7	344.98
hsp_P_6_0	344.81
hsp_P_6_1	346.06
hsp_P_6_2	346.77
hsp_P_6_3	347.07
hsp_P_6_4	347.29
hsp_P_6_5	346.88
hsp_P_6_6	345.96
hsp_P_6_7	344.29
hsp_P_7_0	343.73
hsp_P_7_1	344.73
hsp_P_7_2	345.31
hsp_P_7_3	345.58
hsp_P_7_4	345.62
hsp_P_7_5	345.31
hsp_P_7_6	344.62
hsp_P_7_7	343.46
hsink_P_0_0	343.43
hsink_P_0_1	344.58
hsink_P_0_2	345.20
hsink_P_0_3	345.50
hsink_P_0_4	345.67
hsink_P_0_5	345.40
hsink_P_0_6	344.52
hsink_P_0_7	343.09
hsink_P_1_0	343.97
hsink_P_1_1	345.42
hsink_P_1_2	346.23
hsink_P_1_3	346.59
hsink_P_1_4	346.73
hsink_P_1_5	346.39
hsink_P_1_6	345.34
hsink_P_1_7	343.62
hsink_P_2_0	344.30
hsink_P_2_1	345.91
hsink_P_2_2	346.81
hsink_P_2_3	347.22
hsink_P_2_4	347.35
hsink_P_2_5	346.96
hsink_P_2_6	345.80
hsink_P_2_7	343.92
hsink_P_3_0	344.44
hsink_P_3_1	346.07
hsink_P_3_2	347.00
hsink_P_3_3	347.43
hsink_P_3_4	347.57
hsink_P_3_5	347.12
hsink_P_3_6	345.93
hsink_P_3_7	344.00
hsink_P_4_0	344.31
hsink_P_4_1	345.88
hsink_P_4_2	346.79
hsink_P_4_3	347.21
hsink_P_4_4	347.34
hsink_P_4_5	346.89
hsink_P_4_6	345.73
hsink_P_4_7	343.87
hsink_P_5_0	343.92
hsink_P_5_1	345.34
hsink_P_5_2	346.18
hsink_P_5_3	346.58
hsink_P_5_4	346.68
hsink_P_5_5	346.24
hsink_P_5_6	345.19
hsink_P_5_7	343.52
hsink_P_6_0	343.29
hsink_P_6_1	344.49
hsink_P_6_2	345.22
hsink_P_6_3	345.58
hsink_P_6_4	345.62
hsink_P_6_5	345.23
hsink_P_6_6	344.36
hsink_P_6_7	342.98
hsink_P_7_0	342.52
hsink_P_7_1	343.45
hsink_P_7_2	344.02
hsink_P_7_3	344.30
hsink_P_7_4	344.31
hsink_P_7_5	344.00
hsink_P_7_6	343.34
hsink_P_7_7	342.29
inode_0	341.10
inode_1	339.97
inode_2	339.97
inode_3	340.40
inode_4	340.99
inode_5	339.89
inode_6	339.85
inode_7	340.27
inode_8	336.58
inode_9	335.68
inode_10	335.96
inode_11	336.30
